Nama,Latitude,Longitude
Balai Desa Kawunganten,-7.592701,108.91958
Balai Desa Kawunganten Lor,-7.58543,108.919056
Balai Desa Sarwadadi,-7.558281,108.917277
Balai Desa Kalijeruk,-7.578984,108.936294
Balai Desa Mentasan,-7.582681,108.957987
Balai Desa Sidaurip,-7.607180987983122,108.98216060415469
Balai Desa Babakan,-7.662701,108.932634
Balai Desa Ujunggagak,-7.666216,108.819289
Balai Desa Klaces,-7.685966,108.827926
Balai Desa Panikel,-7.632277,108.855158
Balai Desa Tritih Wetan,-7.661313,109.047293
Balai Desa Sumingkir,-7.624942,109.049952
Balai Desa Jeruklegi Wetan,-7.620418,109.019174
Balai Desa Jeruklegi Kulon,-7.607179,109.01535
Balai Desa Sawangan,-7.593587,108.993748
Balai Desa Cilibang,-7.578631,109.018484
Balai Desa Mandala,-7.598183,109.056624
Balai Desa Karangkemiri,-7.622875,109.130052
Balai Desa Jambusari,-7.567455,109.026833
Balai Desa Prapagan,-7.566531,109.001975
Balai Desa Citepus,-7.551642,108.990806
Balai Desa Menganti,-7.669045,109.072558
Balai Desa Karangkandri,-7.669975,109.084671
Balai Desa Slarang,-7.659593,109.113482
Balai Desa Kesugihan Kidul,-7.622897,109.120648
Balai Desa Kesugihan,-7.608925,109.116912
Balai Desa Kalisabuk,-7.658169,109.098666
Balai Desa Kuripan Kidul,-7.6589,109.080926
Balai Desa Kuripan,-7.651916,109.083396
Balai Desa Jangrana,-7.639157,109.063973
Balai Desa Planjan,-7.623498,109.0785
Balai Desa Dondong,-7.61863,109.066613
Balai Desa Ciwuni,-7.604368,109.082218
Balai Desa Karangjengkol,-7.602219,109.090462
Balai Desa Keleng,-7.595349,109.11045
Balai Desa Pesanggrahan,-7.594238,109.114316
Balai Desa Bulupayung,-7.596761,109.138803
Balai Desa Gombolharjo,-7.663956,109.112655
Balai Desa Wlahar,-7.667846,109.133921
Balai Desa Karanganyar,-7.668411043673285,109.16116867966834
Balai Desa Pedasong,-7.669737,109.195752
Balai Desa Glempangpasir,-7.680679,109.191933
Balai Desa Welahan Wetan,-7.68353,109.231269
Balai Desa Adireja Wetan,-7.663377,109.1669
Balai Desa Adireja Kulon,-7.66096,109.159231
Balai Desa Adipala,-7.660199,109.155491
Balai Desa Penggalang,-7.653467,109.137016
Balai Desa Karangsari,-7.632979,109.135353
Balai Desa Kalikudi,-7.63321,109.15434
Balai Desa Doplang,-7.639206,109.179516
Balai Desa Karangreja,-7.624295,109.146347
Balai Desa Klapagada,-7.621023,109.151331
Balai Desa Pengawaren,-7.38750728,108.8685968
Balai Desa Gunungtelu,-7.414552012,108.8784123
Balai Desa Sindangbarang,-7.431525182,108.8898178
Balai Desa Karangpucung,-7.413007611,108.9004168
Balai Desa Tayemtimur,-7.413687359,108.9086003
Balai Desa Tayem,-7.397383206,108.8990858
Balai Desa Ciporos,-7.381721517,108.8713846
Balai Desa Surusunda,-7.372539172,108.8984601
Balai Desa Bengbulang,-7.378132855,108.9150623
Balai Desa Sidamulya,-7.350083581,108.9555302
